Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Acrocephalus orientalis,Oriental Reed Warbler,Rousserolle d'Orient,Carricero Oriental,Chinese Karekiet,orienttrostesanger,هازجة القصب الشرقية,Østlig Drosselrørsanger,Chinarohrsänger,Oriental Reed Warbler,オオヨシキリ,개개비,trzciniak wschodni,Rouxinol-grande-oriental,Rouxinol-Grande-Oriental,Восточная дроздовидная камышевка,Kinesisk trastsångare,นกพงใหญ่พันธุ์ญี่ปุ่น,Uzakdoğulu Büyük Kamışçın,Очеретянка східна,东方大苇莺
Acrocephalus paludicola,Aquatic Warbler,Phragmite aquatique,Carricerín Cejudo,Waterrietzanger,vannsanger,Aquatic Warbler,Vandsanger,Seggenrohrsänger,Pagliarolo,ハシボソヨシキリ,Aquatic Warbler,wodniczka,Felosa-aquática,Felosa-Aquática,Вертлявая камышевка,Vattensångare,Aquatic Warbler,Sarı Kamışçın,Очеретянка прудка,水栖苇莺
Acrocephalus palustris,Marsh Warbler,Rousserolle verderolle,Carricero Políglota,Bosrietzanger,myrsanger,هازجة المستنقعات,Kærsanger,Sumpfrohrsänger,Cannaiola verdognola,ヌマヨシキリ,Marsh Warbler,łozówka,Felosa-palustre,Felosa-Palustre,Болотная камышевка,Kärrsångare,Marsh Warbler,Çalı Kamışçını,Очеретянка чагарникова,湿地苇莺
Acrocephalus rufescens,Greater Swamp Warbler,Rousserolle des cannes,Carricero Rufo,Papyrusrietzanger,papyrussanger,Greater Swamp Warbler,Greater Swamp Warbler,Papyrusrohrsänger,Greater Swamp Warbler,オオアシナガヨシキリ,Greater Swamp Warbler,trzciniak papirusowy,Greater swamp warbler,Greater Swamp Warbler,Папирусовая камышовка,Större sumpsångare,Greater Swamp Warbler,Büyük Bataklık Kamışçını,Очеретянка бура,大沼泽苇莺
Acrocephalus schoenobaenus,Sedge Warbler,Phragmite des joncs,Carricerín Común,Rietzanger,sivsanger,هازجة السعد,Sivsanger,Schilfrohrsänger,Forapaglie comune,スゲヨシキリ,풀쇠개개비,rokitniczka,Felosa-dos-juncos,Felosa-Dos-Juncos,Камышевка-барсучок,Sävsångare,Sedge Warbler,Kındıra Kamışçını,Очеретянка лучна,水蒲苇莺
Acrocephalus scirpaceus,Common Reed Warbler,Rousserolle effarvatte,Carricero Común,Kleine Karekiet,rørsanger,دَخْنَاءٌ أَوْراسِيَّةٌ,Rørsanger,Teichrohrsänger,Cannaiola comune,ヨーロッパヨシキリ,Common Reed Warbler,trzcinniczek,Rouxinol-pequeno-dos-caniços,Rouxinol-Pequeno-Dos-Caniços,Тростниковая камышевка,Rörsångare,Eurasian Reed Warbler,Saz Kamışçını,Очеретянка ставкова,芦苇莺
Acrocephalus stentoreus,Clamorous Reed Warbler,Rousserolle stentor,Carricero Estentóreo,Indische Karekiet,stentorsanger,هازجة القصب الصياحة,Papyrussanger,Stentorrohrsänger,Clamorous Reed Warbler,チュウヨシキリ,Clamorous Reed Warbler,trzciniak głośny,Felosa-ruidosa,Felosa-Ruidosa,Южная дроздовидная камышевка,Papyrussångare,นกพงใหญ่พันธุ์อินเดีย,Nil Kamışçını,Очеретянка південна,噪大苇莺
Acrocephalus tangorum,Manchurian Reed Warbler,Rousserolle mandchoue,Carricerín Manchú,Mantsjoerijse Veldrietzanger,mandsjuriasanger,Manchurian Reed Warbler,Manchurian Reed Warbler,Mandschurenrohrsänger,Manchurian Reed Warbler,コクリュウコウイナダヨシキリ,우수리개개비,trzcinniczek mandżurski,Manchurian reed warbler,Manchurian Reed Warbler,Маньчжурская камышевка,Amursångare,นกพงนาพันธุ์แมนจูเรีย,Mançurya Kamışçını,Очеретянка маньчжурська,远东苇莺
Acropternis orthonyx,Ocellated Tapaculo,Mérulaxe ocellé,Tapaculo Ocelado,Zilverpareltapaculo,perletapakulo,Ocellated Tapaculo,Ocellated Tapaculo,Perlmanteltapaculo,Ocellated Tapaculo,シラボシオタテドリ,Ocellated Tapaculo,szponniczek,Ocellated tapaculo,Ocellated Tapaculo,Глазчатый тапакуло,Pärltapakul,Ocellated Tapaculo,İncili Tapakola,Тапакуло цяткований,眼斑窜鸟
Actenoides concretus,Rufous-collared Kingfisher,Martin-chasseur trapu,Alción Malayo,Maleise Bosijsvogel,skjeggisfugl,Rufous-collared Kingfisher,Rufous-collared Kingfisher,Malaienliest,Rufous-collared Kingfisher,アオヒゲショウビン,Rufous-collared Kingfisher,krasnogłów sundajski,Rufous-collared kingfisher,Rufous-Collared Kingfisher,Малайский зимородок,Rosthalsad kungsfiskare,นกกระเต็นสร้อยคอสีน้ำตาล,Malay Yalıçapkını,Альціон малазійський,栗领翡翠
Actenoides lindsayi,Spotted Kingfisher,Martin-chasseur tacheté,Alción Moteado,Luzonbosijsvogel,dråpeisfugl,Spotted Kingfisher,Spotted Kingfisher,Tropfenliest,Spotted Kingfisher,シロボシショウビン,Spotted Kingfisher,krasnogłów plamisty,Spotted kingfisher,Spotted Kingfisher,Пестрогрудый зимородок,Fläckkungsfiskare,Spotted Kingfisher,Benekli Yalıçapkını,Альціон строкатий,斑林翡翠
Actenoides monachus,Green-backed Kingfisher,Martin-chasseur moine,Alción Monje,Blauwkopbosijsvogel,munkeisfugl,Green-backed Kingfisher,Green-backed Kingfisher,Einsiedlerliest,Green-backed Kingfisher,チャバラショウビン,Green-backed Kingfisher,krasnogłów białogardły,Green-backed kingfisher,Green-Backed Kingfisher,Синеголовый зимородок,Grönryggig kungsfiskare,Green-backed Kingfisher,Yeşil Sırtlı Yalıçapkını,Альціон білогорлий,绿背翡翠
Actinodura cyanouroptera,Blue-winged Minla,Siva à ailes bleues,Siva Aliazul,Blauwvleugelminla,blåvingeminla,Blue-winged Minla,Blue-winged Minla,Blauflügelsiva,Blue-winged Minla,ルリハコバシチメドリ,Blue-winged Minla,prążkopiór modroskrzydły,Blue-winged minla,Blue-Winged Minla,Синекрылый шива,Blåstjärtad siva,นกศิวะปีกสีฟ้า,Mavi Kanatlı Minla,Сіва,蓝翅希鹛
Actinodura egertoni,Rusty-fronted Barwing,Actinodure d'Egerton,Actinodura de Egerton,Grijskopstreepvleugel,maskegittervinge,Rusty-fronted Barwing,Rusty-fronted Barwing,Roststirn-Meisenhäherling,Rusty-fronted Barwing,クリビタイシマドリ,Rusty-fronted Barwing,prążkopiór rdzawoczelny,Rusty-fronted barwing,Rusty-Fronted Barwing,Рыжелобый пестрокрыл,Brunpannad bandvinge,Rusty-fronted Barwing,Egerton Yazılıkanadı,Сибія рудолоба,锈额斑翅鹛
Actinodura nipalensis,Hoary-throated Barwing,Actinodure du Népal,Actinodura Nepalesa,Nepalese Streepvleugel,gråbrystgittervinge,Hoary-throated Barwing,Hoary-throated Barwing,Nepalmeisenhäherling,Hoary-throated Barwing,ノドジロシマドリ,Hoary-throated Barwing,prążkopiór nepalski,Hoary-throated barwing,Hoary-Throated Barwing,Непальский пестрокрыл,Himalayabandvinge,Hoary-throated Barwing,Tepeli Yazılıkanat,Сибія непальська,纹头斑翅鹛
Actinodura ramsayi,Spectacled Barwing,Actinodure de Ramsay,Actinodura de Ramsay,Brilstreepvleugel,brillegittervinge,Spectacled Barwing,Spectacled Barwing,Brillenmeisenhäherling,Spectacled Barwing,メジロシマドリ,Spectacled Barwing,prążkopiór okularowy,Spectacled barwing,Spectacled Barwing,Очковый пестрокрыл,Glasögonbandvinge,นกปีกลายตาขาว,Gözlüklü Yazılıkanat,Сибія бірманська,白眶斑翅鹛
Actinodura strigula,Chestnut-tailed Minla,Actinodure à gorge striée,Minla Colicastaña,Ornaatminla,oransjekroneminla,Chestnut-tailed Minla,Chestnut-tailed Minla,Bändersiva,Chestnut-tailed Minla,ノドジマコバシチメドリ,Chestnut-tailed Minla,prążkopiór rudogłowy,Chestnut-tailed minla,Chestnut-Tailed Minla,Рыжекрылый шива,Rostkronad minla,นกศิวะหางสีตาล,Sarıca Minla,Мінла рудоголова,斑喉希鹛
Actinodura waldeni,Streak-throated Barwing,Actinodure de Walden,Actinodura de Yunnan,Yunnanstreepvleugel,brunstripegittervinge,Streak-throated Barwing,Streak-throated Barwing,Waldenmeisenhäherling,Streak-throated Barwing,クリイロシマドリ,Streak-throated Barwing,prążkopiór birmański,Streak-throated barwing,Streak-Throated Barwing,Юньнаньский пестрокрыл,Waldenbandvinge,Streak-throated Barwing,Gri Başlı Yazılıkanat,Сибія юнанська,纹胸斑翅鹛
Actitis hypoleucos,Common Sandpiper,Chevalier guignette,Andarríos Chico,Oeverloper,strandsnipe,طيطوي شائع,Mudderklire,Flussuferläufer,Piro piro piccolo,イソシギ,깝작도요,brodziec piskliwy,Maçarico-das-rochas,Maçarico-Das-Rochas,Перевозчик,Drillsnäppa,นกเด้าดิน,Dere Düdükçünü,Набережник палеарктичний,矶鹬
Actitis macularius,Spotted Sandpiper,Chevalier grivelé,Andarríos Maculado,Amerikaanse Oeverloper,flekksnipe,Spotted Sandpiper,Plettet Mudderklire,Drosseluferläufer,Piro piro macchiato,アメリカイソシギ,Spotted Sandpiper,brodziec plamisty,Maçarico-pintado,Maçarico-Pintado,Пятнистый перевозчик,Fläckdrillsnäppa,Spotted Sandpiper,Benekli Düdükçün,Набережник плямистий,斑腹矶鹬
Actophilornis africanus,African Jacana,Jacana à poitrine dorée,Jacana Africana,Lelieloper,afrikabladhøne,African Jacana,African Jacana,Blaustirn-Blatthühnchen,African Jacana,アフリカレンカク,African Jacana,długoszpon afrykański,Jaçaná,Jaçaná,Африканская якана,Afrikansk jaçana,African Jacana,Afrika Jakanası,Якана африканська,非洲雉鸻
Adelomyia melanogenys,Speckled Hummingbird,Colibri moucheté,Colibrí Jaspeado,Zwartoorkolibrie,flekkolibri,Speckled Hummingbird,Speckled Hummingbird,Schwarzohrkolibri,Speckled Hummingbird,ミミグロハチドリ,Speckled Hummingbird,płowik,Speckled hummingbird,Speckled Hummingbird,Черноухий колибри,Fläckkolibri,Speckled Hummingbird,Çilli Kolibri,Колібрі плямистоволий,鳞斑蜂鸟
Aechmophorus clarkii,Clark's Grebe,Grèbe à face blanche,Achichilique de Clark,Clarks Fuut,gulnebbdykker,Clark's Grebe,Clark's Grebe,Clarktaucher,Clark's Grebe,クラークカイツブリ,Clark's Grebe,perkoz żółtodzioby,Clark's grebe,Clark's Grebe,Желтоклювая поганка,Ljus svandopping,Clark's Grebe,Clark Batağanı,Пірникоза Кларка,克氏䴙䴘
Aechmophorus occidentalis,Western Grebe,Grèbe élégant,Achichilique Común,Zwanenhalsfuut,svanedykker,Western Grebe,Western Grebe,Renntaucher,Western Grebe,クビナガカイツブリ,Western Grebe,perkoz wielki,Western grebe,Western Grebe,Западная поганка,Mörk svandopping,Western Grebe,İnce Gagalı Batağan,Пірникоза західна,北美䴙䴘
Aegithalos caudatus,Long-tailed Tit,Orite à longue queue,Mito Común,Staartmees,stjertmeis,Long-tailed Tit,Halemejse,Schwanzmeise,Codibugnolo,エナガ,오목눈이,raniuszek,Chapim-rabilongo,Chapim-Rabilongo,Ополовник,Stjärtmes,Long-tailed Tit,Uzun Kuyruklu Baştankara,Синиця довгохвоста,北长尾山雀
Aegithalos concinnus,Black-throated Tit,Orite à tête rousse,Mito Gorjinegro,Roodkruinstaartmees,praktstjertmeis,Black-throated Tit,Black-throated Tit,Schwarzkehl-Schwanzmeise,Black-throated Tit,ズアカエナガ,Black-throated Tit,raniuszek czarnogardły,Black-throated tit,Black-Throated Tit,Черногорлый ополовник,Rödhättad stjärtmes,นกติ๊ดหัวแดง,Kara Gerdanlı Uzunkuyruk,Ополовник рудоголовий,红头长尾山雀
Aegithalos glaucogularis,Silver-throated Tit,Orite à gorge argent,Mito Gorjigrís,Zilverkeelstaartmees,sølvhakestjertmeis,Silver-throated Tit,Silver-throated Tit,Silberkehl-Schwanzmeise,Silver-throated Tit,ギンノドエナガ,검은턱오목눈이,raniuszek czarnołbisty,Silver-throated tit,Silver-Throated Tit,Серогорлый ополовник,Gråstrupig stjärtmes,Silver-throated Tit,Gri Gerdanlı Uzunkuyruk,Ополовник чорноголовий,银喉长尾山雀
Aegithalos iouschistos,Black-browed Tit,Orite de Blyth,Mito Cejinegro,Bruinborststaartmees,ruststjertmeis,Black-browed Tit,Black-browed Tit,Rostwangen-Schwanzmeise,Black-browed Tit,ヤマガラモドキ,Black-browed Tit,raniuszek rdzawy,Black-browed tit,Black-Browed Tit,Рыжий ополовник,Roststjärtmes/Burmastjärtmes/Svartbrynad stjärtmes,Black-browed Tit,Kızıl Alınlı Uzunkuyruk,Ополовник рудощокий,棕额长尾山雀
Aegithalos niveogularis,White-throated Tit,Orite à gorge blanche,Mito Gorjiblanco,Witkeelstaartmees,hvitkronestjertmeis,White-throated Tit,White-throated Tit,Weißkehl-Schwanzmeise,White-throated Tit,ノドジロヤマガラモドキ,White-throated Tit,raniuszek białogardły,White-throated tit,White-Throated Tit,Белогорлый ополовник,Vitstrupig stjärtmes,White-throated Tit,Ak Boğazlı Uzunkuyruk,Ополовник білогорлий,白喉长尾山雀
Aegithina nigrolutea,White-tailed Iora,Iora à queue blanche,Iora Coliblanca,Zwartkapiora,rajaløvfugl,White-tailed Iora,White-tailed Iora,Schwarzkappeniora,White-tailed Iora,ズグロヒメコノハドリ,White-tailed Iora,paskownik białosterny,White-tailed iora,White-Tailed Iora,Черношапочная йора,Vitstjärtad iora,White-tailed Iora,Ak Kuyruklu İora,Йора мала,白尾雀鹎
Aegithina tiphia,Common Iora,Petit Iora,Iora Común,Gewone Iora,parkløvfugl,Common Iora,Common Iora,Garteniora,Common Iora,ヒメコノハドリ,Common Iora,paskownik zmienny,Common iora,Common Iora,Пестрокрылая йора,Parkiora,นกขมิ้นน้อยธรรมดา,İora,Йора чорнокрила,黑翅雀鹎
Aegithina viridissima,Green Iora,Iora émeraude,Iora Verde,Groene Iora,brilleløvfugl,Green Iora,Green Iora,Smaragdiora,Green Iora,ミドリヒメコノハドリ,Green Iora,paskownik zielony,Green iora,Green Iora,Зелёная йора,Grön iora,นกขมิ้นน้อยสีเขียว,Yeşil İora,Йора зелена,绿雀鹎
Aegolius acadicus,Northern Saw-whet Owl,Petite Nyctale,Mochuelo Cabezón,Zaaguil,slipeugle,Northern Saw-whet Owl,Northern Saw-whet Owl,Sägekauz,Northern Saw-whet Owl,アメリカキンメフクロウ,Northern Saw-whet Owl,włochatka mała,Northern saw-whet owl,Northern Saw-Whet Owl,Североамериканский сыч,Rostpärluggla,Northern Saw-whet Owl,Kızıl Benekli Baykuş,Сич північний,棕榈鬼鸮
Aegolius funereus,Tengmalm's Owl,Nyctale de Tengmalm,Mochuelo Boreal,Ruigpootuil,perleugle,Boreal Owl,Perleugle,Raufußkauz,Civetta capogrosso,キンメフクロウ,Boreal Owl,włochatka,Mocho-funéreo,Mocho-Funéreo,Мохноногий сыч,Pärluggla,Boreal Owl,Paçalı Baykuş,Сич волохатий,鬼鸮
Aegolius harrisii,Buff-fronted Owl,Nyctale de Harris,Mochuelo Canela,Harris' Zaaguil,svartbrynugle,Buff-fronted Owl,Buff-fronted Owl,Blassstirnkauz,Buff-fronted Owl,セグロキンメフクロウ,Buff-fronted Owl,włochatka obrożna,Caburé-acanelado,Caburé-Acanelado,Масковый сыч,Gulpannad pärluggla,Buff-fronted Owl,Sarışın Paçalı Baykuş,Сич вохристолобий,黄额鬼鸮
Aegolius ridgwayi,Unspotted Saw-whet Owl,Nyctale immaculée,Mochuelo Moreno,Ridgways Zaaguil,kanelugle,Unspotted Saw-whet Owl,Unspotted Saw-whet Owl,Ridgwaykauz,Unspotted Saw-whet Owl,メキシコキンメフクロウ,Unspotted Saw-whet Owl,włochatka białolica,Unspotted saw-whet owl,Unspotted Saw-Whet Owl,Светлобрюхий сыч,Brun pärluggla,Unspotted Saw-whet Owl,Kumral Paçalı Baykuş,Сич білобровий,无斑棕榈鬼鸮
Aegotheles cristatus,Australian Owlet-nightjar,Égothèle d'Australie,Egotelo Australiano,Australische Dwergnachtzwaluw,australuglesvale,Australian Owlet-nightjar,Australian Owlet-nightjar,Baumhöhlenschwalm,Australian Owlet-nightjar,オーストラリアズクヨタカ,Australian Owlet-nightjar,sownik australijski,Australian owlet-nightjar,Australian Owlet-Nightjar,Австралийский совиный козодой,Australisk uggleskärra,Australian Owlet-nightjar,Avustralya Egoteli,Еготело австралійський,澳洲裸鼻夜鹰
Aegypius monachus,Black Vulture,Vautour moine,Buitre Negro,Monniksgier,munkegribb,النسر الاسود,Munkegrib,Mönchsgeier,Avvoltoio monaco,クロハゲワシ,독수리,sęp kasztanowaty,Abutre-preto,Abutre-Preto,Чёрный гриф,Grågam,อีแร้งดำหิมาลัย,Kara Akbaba,Гриф чорний,秃鹫
Aerodramus bartschi,Mariana Swiftlet,Salangane de Guam,Salangana de Guam,Marianensalangaan,marianesalangan,Mariana Swiftlet,Mariana Swiftlet,Marianensalangane,Mariana Swiftlet,グアムムジアナツバメ,Mariana Swiftlet,salangana mariańska,Mariana swiftlet,Mariana Swiftlet,Гуамская салангана,Guamsalangan,Mariana Swiftlet,Guam Yelyutanı,Салангана маріанська,关岛金丝燕
Aerodramus fuciphagus,White-nest Swiftlet,Salangane à nid blanc,Salangana Nidoblanco,Eetbaar-nestsalangaan,reirsuppesalangan,White-nest Swiftlet,White-nest Swiftlet,Weißnestsalangane,White-nest Swiftlet,ジャワアナツバメ,White-nest Swiftlet,salangana sundajska,Andorinhão-de-ninho-comestível,Andorinhão-De-Ninho-Comestível,Салангана-водорослеед,Svalbosalangan,White-nest Swiftlet,Çorba Yelyutanı,Салангана сундайська,爪哇金丝燕
Aerodramus maximus,Black-nest Swiftlet,Salangane à nid noir,Salangana Nidonegro,Zwartnestsalangaan,malaysalangan,Black-nest Swiftlet,Black-nest Swiftlet,Schwarznestsalangane,Black-nest Swiftlet,オオアナツバメ,Black-nest Swiftlet,salangana czarnogniazdowa,Black-nest swiftlet,Black-Nest Swiftlet,Большая салангана,Svartbosalangan,"นกแอ่นรังดำ, นกแอ่นหางสี่เหลี่ยม",Siyah Çorba Yelyutanı,Салангана малазійська,大金丝燕
